"year" "x" "mx" "qx" "lx" "dx" "Lx" "Tx" "ex"
"1" 1933 0 0.054177 0.0519390897170409 1 0.051939089717041 0.958692613416043 62.8100876966509 62.8100876966509
"2" 1933 1 0.008866 0.00882687048314821 0.948060910282959 0.00836841086520335 0.943876704850357 61.8513950832349 65.239895888941
"3" 1933 2 0.004025 0.00401691595663727 0.939692499417756 0.00377466579524344 0.937805166520134 60.9075183783845 64.8164356064601
"4" 1933 3 0.002869 0.00286489031484336 0.935917833622512 0.00268130193703431 0.934577182653995 59.9697132118644 64.0758312935965
"5" 1933 4 0.00223 0.00222751631930398 0.933236531685478 0.00207879960410007 0.932197131883428 59.0351360292104 63.2584923809076
"6" 1933 5 0.001852 0.00185028663457638 0.931157732081378 0.00172290870635261 0.930296277728202 58.102938897327 62.3986000389557
"7" 1933 6 0.001645 0.00164364809943821 0.929434823375025 0.00152766378099212 0.928670991484529 57.1726426195988 61.5133424977447
"8" 1933 7 0.001472 0.00147091740479007 0.927907159594033 0.00136487479107616 0.927224722198495 56.2439716281142 60.6137920659233
"9" 1933 8 0.00132 0.00131912937461276 0.926542284802957 0.00122222914470438 0.925931170230605 55.3167469059157 59.7023447426144
"10" 1933 9 0.001194 0.00119328760729844 0.925320055658253 0.00110417295520171 0.924767969180652 54.3908157356851 58.7805434488207
"11" 1933 10 0.001098 0.00109739752875671 0.924215882703051 0.00101423222571606 0.923708766590193 53.4660477665045 57.8501719859353
"12" 1933 11 0.001058 0.00105744061391524 0.923201650477335 0.000976230920048282 0.922713535017311 52.5423389999143 56.913177064564
"13" 1933 12 0.001096 0.00109539972095292 0.922225419557287 0.00101020546723873 0.921720316823667 51.619625464897 55.9728937960493
"14" 1933 13 0.001211 0.00121026718322056 0.921215214090048 0.00111491654229678 0.920657755818899 50.6979051480733 55.0337254233815
"15" 1933 14 0.001392 0.00139103184183808 0.920100297547751 0.00127988881157359 0.919460353141964 49.7772473922544 54.0998057765231
"16" 1933 15 0.001627 0.00162567751134452 0.918820408736177 0.00149370567544682 0.918073555898454 48.8577870391125 53.1744686715389
"17" 1933 16 0.001867 0.001865258780928 0.917326703060731 0.00171105168786378 0.916471177216799 47.939713483214 52.2602398068861
"18" 1933 17 0.002099 0.00209679940902023 0.915615651372867 0.00191986235668828 0.914655720194523 47.0232423059972 51.3569664689446
"19" 1933 18 0.002329 0.0023262910340908 0.913695789016179 0.0021255223218748 0.912633027855241 46.1085865858027 50.4638273921018
"20" 1933 19 0.00256 0.00255672738894215 0.911570266694304 0.00233063666780264 0.910404948360402 45.1959535579474 49.5803288120015
"21" 1933 20 0.002789 0.00278511615552113 0.909239630026501 0.00253233798282693 0.907973461035088 44.285548609587 48.7061354863033
"22" 1933 21 0.002992 0.0029875306541414 0.906707292043674 0.00270881582931393 0.905352884129017 43.3775751485519 47.8407701462078
"23" 1933 22 0.003163 0.00315800561412127 0.90399847621436 0.00285483226304206 0.902571060082839 42.4722222644229 46.9826259467629
"24" 1933 23 0.003298 0.00329257055116114 0.901143643951318 0.00296707902444016 0.899660104439098 41.5696512043401 46.1298833802636
"25" 1933 24 0.003396 0.00339024336676324 0.898176564926878 0.00304503714142546 0.896654046356165 40.669991099901 45.280619299182
"26" 1933 25 0.003465 0.00345900726990489 0.895131527785453 0.00309626646213101 0.893583394554387 39.7733370535448 44.4329529448524
"27" 1933 26 0.003532 0.00352577348402721 0.892035261323322 0.00314511427119102 0.890462704187726 38.8797536589904 43.5854448189782
"28" 1933 27 0.003604 0.00359751727387248 0.888890147052131 0.00319779765859507 0.887291248222833 37.9892909548027 42.737891831503
"29" 1933 28 0.003675 0.00366825957303455 0.885692349393535 0.00324894943942622 0.884067874673822 37.1019997065799 41.8903919989655
"30" 1933 29 0.003743 0.003736008060914 0.882443399954109 0.00329681565552897 0.880794992126345 36.2179318319061 41.0427817056477
"31" 1933 30 0.003815 0.00380773674216432 0.87914658429858 0.00334755875078185 0.877472804923189 35.3371368397797 40.1948178732596
"32" 1933 31 0.003918 0.00391033964463616 0.875799025547798 0.00342467165033333 0.874086689722632 34.4596640348565 39.3465430191619
"33" 1933 32 0.004064 0.004055758698325 0.872374353897465 0.0035381398740153 0.870605283960457 33.5855773451339 38.4990425212356
"34" 1933 33 0.004257 0.00424795822092676 0.86883621402345 0.00369077993799971 0.86699082405445 32.7149720611734 37.6537850668946
"35" 1933 34 0.004498 0.00448790669783657 0.86514543408545 0.00388269198823488 0.863204088091333 31.847981237119 36.812286099372
"36" 1933 35 0.004757 0.00474571232323918 0.861262742097215 0.00408730520871747 0.859219089492856 30.9847771490277 35.9759869254047
"37" 1933 36 0.00497 0.00495768016479049 0.857175436888498 0.00424960166120769 0.855050636057894 30.1255580595348 35.1451485461238
"38" 1933 37 0.005129 0.00511588032490678 0.85292583522729 0.00436346649904396 0.850744101977768 29.2705074234769 34.3177638835114
"39" 1933 38 0.005252 0.00523824437028363 0.848562368728246 0.00444497705082536 0.846339880202833 28.4197633214991 33.4916611540202
"40" 1933 39 0.005357 0.00534268960589062 0.844117391677421 0.00450985721466635 0.841862463070087 27.5734234412963 32.6653895692194
"41" 1933 40 0.005488 0.00547298213701603 0.839607534462754 0.00459515703821878 0.837309955943645 26.7315609782262 31.8381623329895
"42" 1933 41 0.005709 0.00569275004499656 0.835012377424536 0.00475351674915625 0.832635619049958 25.8942510222826 31.0106193900374
