"year" "x" "mx" "qx" "lx" "dx" "Lx" "Tx" "ex"
"1" 1933 0 0.068175 0.0647662027062696 1 0.0647662027062696 0.94999930628925 59.1971725999868 59.1971725999868
"2" 1933 1 0.010039 0.00998886091264896 0.93523379729373 0.00934192032197556 0.930562837132743 58.2471732936976 62.2808686579189
"3" 1933 2 0.004671 0.00466011629838512 0.925891876971755 0.00431476382641849 0.923734495058546 57.3166104565649 61.9042156887973
"4" 1933 3 0.003333 0.0033274547965815 0.921577113145336 0.00306650618555515 0.920043860052559 56.3928759615063 61.1917062144022
"5" 1933 4 0.002537 0.00253378589259524 0.918510606959781 0.00232730921811386 0.917346952350724 55.4728321014538 60.394329342658
"6" 1933 5 0.002092 0.00208981405449899 0.916183297741667 0.00191465273211777 0.915225971375608 54.555485149103 59.5464742520179
"7" 1933 6 0.001898 0.00189620050572007 0.91426864500955 0.00173363666703108 0.913401826676034 53.6402591777274 58.67012881883
"8" 1933 7 0.001744 0.00174248055695434 0.912535008342518 0.00159007450957704 0.91173997108773 52.7268573510514 57.7806405990075
"9" 1933 8 0.001614 0.00161269855226832 0.910944933832941 0.00146907957598852 0.910210394044947 51.8151173799637 56.8806252228041
"10" 1933 9 0.00151 0.00150886081008838 0.909475854256953 0.00137227247421001 0.908789718019848 50.9049069859187 55.9716970468758
"11" 1933 10 0.001436 0.00143496969176132 0.908103581782743 0.00130310111683807 0.907452031224324 49.9961172678989 55.0555225977074
"12" 1933 11 0.001408 0.0014070094653364 0.906800480665905 0.00127587685946851 0.906162542236171 49.0886652366745 54.1339206179363
"13" 1933 12 0.001457 0.00145593934818485 0.905524603806436 0.00131838890143132 0.904865409355721 48.1825026944384 53.2094903792783
"14" 1933 13 0.001584 0.00158274646479988 0.904206214905005 0.00143112919009092 0.90349065030996 47.2776372850826 52.2863440946926
"15" 1933 14 0.001774 0.00177242785649129 0.902775085714914 0.00160010371006747 0.90197503385988 46.3741466347727 51.3684386826522
"16" 1933 15 0.002013 0.0020109759527036 0.901174982004847 0.00181224121798995 0.900268861395852 45.4721716009128 50.4587594073581
"17" 1933 16 0.002254 0.00225146260164794 0.899362740786857 0.00202488157619718 0.898350299998758 44.571902739517 49.5594277126944
"18" 1933 17 0.002484 0.00248091869897587 0.897337859210659 0.00222622227421465 0.896224748073552 43.6735524395182 48.6701324269718
"19" 1933 18 0.002708 0.00270433832590672 0.895111636936445 0.00242068470573242 0.893901294583579 42.7773276914446 47.7899358317492
"20" 1933 19 0.002932 0.00292770798010117 0.892690952230712 0.00261353842460998 0.891384183018407 41.8834263968611 46.9181706078684
"21" 1933 20 0.003151 0.00314604340860974 0.890077413806102 0.00280022218085707 0.888677302715674 40.9920422138427 46.0544684967958
"22" 1933 21 0.003343 0.00333742149996281 0.887277191625245 0.00296121797575677 0.885796582637367 40.103364911127 45.198237134518
"23" 1933 22 0.003501 0.00349488220869368 0.884315973649489 0.00309058016317121 0.882770683567903 39.2175683284896 44.3479135253459
"24" 1933 23 0.003619 0.00361246324775319 0.881225393486317 0.00318339434695614 0.879633696312839 38.3347976449217 43.5016942637808
"25" 1933 24 0.003694 0.00368718976051233 0.878041999139361 0.00323750746852647 0.876423245405098 37.4551639486089 42.657599505857
"26" 1933 25 0.003735 0.00372803788924184 0.874804491670835 0.00326130429062776 0.873173839525521 36.5787407032038 41.8136178443027
"27" 1933 26 0.003786 0.00377884664330423 0.871543187380207 0.00329342804812627 0.869896473356144 35.7055668636783 40.9682129132424
"28" 1933 27 0.003858 0.0038505722461372 0.868249759332081 0.00334325842599947 0.866578130119081 34.8356703903221 40.1217161489572
"29" 1933 28 0.003952 0.00394420624845306 0.864906500906081 0.00341136962520139 0.863200816093481 33.969092260203 39.2748721678202
"30" 1933 29 0.004066 0.00405775059304434 0.86149513128088 0.00349573237985978 0.85974726509095 33.1058914441096 38.4284138610132
"31" 1933 30 0.004206 0.00419717334445661 0.85799939890102 0.00360117220662715 0.856198812797706 32.2461441790186 37.5829449534831
"32" 1933 31 0.004385 0.00437540692032718 0.854398226694393 0.00373833991379391 0.852529056737496 31.3899453662209 36.7392445179415
"33" 1933 32 0.004609 0.00459840298033183 0.850659886780599 0.00391167695862071 0.848704048301289 30.5374163094834 35.8985027788898
"34" 1933 33 0.004882 0.00487011205647016 0.846748209821978 0.00412375866544856 0.844686330489254 29.6887122611821 35.0620313297431
"35" 1933 34 0.005202 0.00518850469927718 0.84262445115653 0.0043719609245515 0.840438470694254 28.8440259306929 34.2311760489545
"36" 1933 35 0.005539 0.00552370210701462 0.838252490231978 0.00463025704650466 0.835937361708726 28.0035874599986 33.4071032133157
"37" 1933 36 0.005837 0.0058200142882996 0.833622233185474 0.00485169330818369 0.831196386531382 27.1676500982899 32.5898818634859
"38" 1933 37 0.006093 0.0060744940538649 0.82877053987729 0.00503436171650296 0.826253359019038 26.3364537117585 31.7777387642881
"39" 1933 38 0.006329 0.0063090350585572 0.823736178160787 0.00519698042701833 0.821137687947278 25.5102003527395 30.9688963882804
"40" 1933 39 0.006568 0.00654650128976441 0.818539197733769 0.00535856791368683 0.815859913776925 24.6890626647922 30.1623462054683
"41" 1933 40 0.006855 0.00683158474329237 0.813180629820082 0.0055553123842198 0.810402973627972 23.8732027510153 29.3578103997598
"42" 1933 41 0.007243 0.00721686412656564 0.807625317435862 0.00582852218110907 0.804711056345307 23.0627997773873 28.5563110510324
"43" 1933 42 0.007737 0.00770718475577229 0.801796795254753 0.00617959603761442 0.798706997235946 22.258088721042 27.7602615185933
"44" 1933 43 0.00831 0.00827561482042115 0.795617199217138 0.00658422148522331 0.792325088474527 21.459381723806 26.9719932461507
"45" 1933 44 0.008943 0.00890318938864866 0.789032977731915 0.00702491003463668 0.785520522714597 20.6670566353315 26.1928933499576
"46" 1933 45 0.009625 0.00957890153635628 0.782008067697278 0.00749077828110856 0.778262678556724 19.8815361126169 25.4236969334097
"47" 1933 46 0.010329 0.010275929959723 0.77451728941617 0.0079588854186351 0.770537846706852 19.1032734340602 24.6647475725948
"48" 1933 47 0.011059 0.0109981855330948 0.766558403997535 0.00843075154911788 0.762343028222976 18.3327355873533 23.9156409893228
"49" 1933 48 0.011841 0.0117713079711568 0.758127652448417 0.0089241540784204 0.753665575409207 17.5703925591304 23.1760344084347
"50" 1933 49 0.012689 0.0126090021856333 0.749203498369997 0.00944670854843133 0.744480144095781 16.8167269837211 22.4461404949502
"51" 1933 50 0.013588 0.0134963060963812 0.739756789821565 0.00998398407230816 0.734764797785411 16.0722468396254 21.7263931345627
"52" 1933 51 0.014482 0.0143778897006774 0.729772805749257 0.0104925929076167 0.724526509295449 15.33748204184 21.0167903229732
"53" 1933 52 0.015357 0.0152399798149906 0.71928021284164 0.0109618159250288 0.713799304879126 14.6129555325445 20.3160816489216
"54" 1933 53 0.016215 0.0160845941529053 0.708318396916612 0.0113930139454401 0.702621889943892 13.8991562276654 19.6227519829641
"55" 1933 54 0.017064 0.0169196416177176 0.696925382971171 0.0117917277141628 0.69102951911409 13.1965343377215 18.9353618911989
"56" 1933 55 0.017975 0.0178148886879173 0.685133655257009 0.0122055798047496 0.679030865354634 12.5055048186074 18.252650008729
