"year" "x" "mx" "qx" "lx" "dx" "Lx" "Tx" "ex"
"1" 1933 0 0.061292 0.0584854139340557 1 0.0584854139340557 0.954209585819613 60.9068975580897 60.9068975580897
"2" 1933 1 0.009459 0.0094144742440627 0.941514586065944 0.00886386482092716 0.937082653655481 59.95268797227 63.6768552070747
"3" 1933 2 0.004351 0.00434155494721234 0.932650721245017 0.00404915435284248 0.930626144068596 59.0156053186146 63.2772848122964
"4" 1933 3 0.003104 0.00309919005703149 0.928601566892175 0.00287791274305615 0.927162610520647 58.084979174546 62.5510242987675
"5" 1933 4 0.002386 0.00238315689382567 0.925723654149119 0.00220614470816294 0.924620581795037 57.1578165640253 61.7439300679446
"6" 1933 5 0.001975 0.00197305161153361 0.923517509440956 0.001822147710282 0.922606435585815 56.2331959822303 60.8902326240361
"7" 1933 6 0.001774 0.00177242785649129 0.921695361730674 0.0016336385343303 0.920878542463508 55.3105895466445 60.0096212297167
"8" 1933 7 0.001611 0.00160970338392425 0.920061723196343 0.0014810264692483 0.919321209961719 54.389711004181 59.1152850215616
"9" 1933 8 0.001469 0.00146792181142951 0.918580696727095 0.00134840464028385 0.917906494406953 53.4703897942192 58.2097903697893
"10" 1933 9 0.001354 0.00135308396215762 0.917232292086811 0.00124109230399572 0.916611745934813 52.5524832998123 57.2946283653503
"11" 1933 10 0.001268 0.00126719659735728 0.915991199782815 0.00116074093157403 0.915410829317028 51.6358715538775 56.3715803886768
"12" 1933 11 0.001234 0.00123323909148056 0.914830458851241 0.00112820468393249 0.914266356509275 50.7204607245604 55.4424704969383
"13" 1933 12 0.001278 0.001277183879501 0.913702254167309 0.00116696578968623 0.913118771272466 49.8061943680512 54.5103113633461
"14" 1933 13 0.001398 0.00139702348058707 0.912535288377623 0.00127483322472788 0.911897871765259 48.8930755967787 53.5793806765596
"15" 1933 14 0.001584 0.00158274646479988 0.911260455152895 0.00144229426390508 0.910539308020942 47.9811777250134 52.6536375563043
"16" 1933 15 0.00182 0.00181834530577175 0.90981816088899 0.00165436358195836 0.908990979098011 47.0706384169925 51.7363143982523
"17" 1933 16 0.00206 0.0020578803832053 0.908163797307031 0.00186889246321542 0.907229351075424 46.1616474378945 50.8296494253318
"18" 1933 17 0.002291 0.0022883786622424 0.906294904843816 0.00207394592194365 0.905257931882844 45.2544180868191 49.9334354027047
"19" 1933 18 0.002518 0.00251483382421531 0.904220958921872 0.00227396545206116 0.903083976195842 44.3491601549362 49.0468172821552
"20" 1933 19 0.002745 0.00274123765132356 0.901946993469811 0.00247245105799754 0.900710767940812 43.4460761787404 48.169212263353
"21" 1933 20 0.002968 0.00296360201461032 0.899474542411814 0.00266568456598237 0.898141700128822 42.5453654107996 47.300244092201
"22" 1933 21 0.003166 0.00316099614310546 0.896808857845831 0.00283480934075353 0.895391453175454 41.6472237106707 46.4393536552582
"23" 1933 22 0.00333 0.00332446476616434 0.893974048505078 0.00297198522612041 0.892488055892017 40.7518322574953 45.5850282518171
"24" 1933 23 0.003457 0.0034510348861992 0.891002063278957 0.00307487920405114 0.889464623676932 39.8593442016033 44.7354117844775
"25" 1933 24 0.003543 0.00353673467452408 0.887927184074906 0.00314036286037023 0.886357002644721 38.9698795779263 43.8885983860573
"26" 1933 25 0.003598 0.00359153882165983 0.884786821214536 0.00317774621728506 0.883197948105893 38.0835225752816 43.0425969986814
"27" 1933 26 0.003657 0.00365032538004259 0.881609074997251 0.00321815998173836 0.879999995006382 37.2003246271757 42.1959411287727
"28" 1933 27 0.003729 0.00372206021872219 0.878390915015512 0.00326942388126628 0.876756203074879 36.3203246321693 41.3487025096656
"29" 1933 28 0.003811 0.00380375195065802 0.875121491134246 0.00332874507896475 0.873457118594764 35.4435684290945 40.5013118614605
"30" 1933 29 0.003903 0.00389539813054823 0.871792746055281 0.00339597983320927 0.870094756138677 34.5701113104997 39.654047899485
"31" 1933 30 0.004008 0.00399998403199987 0.868396766222072 0.00347357319832864 0.866659979622908 33.700016554361 38.8071649563732
"32" 1933 31 0.00415 0.00414140658134371 0.864923193023744 0.00358199860394537 0.863132193721771 32.8333565747381 37.9610083757308
"33" 1933 32 0.004335 0.00432562420952585 0.861341194419798 0.00372583832324413 0.859478275258176 31.9702243810163 37.1167948173564
"34" 1933 33 0.004568 0.00455759046338164 0.857615356096554 0.00390865956819542 0.855661026312456 31.1107461057582 36.2758734257734
"35" 1933 34 0.00485 0.00483826720203507 0.853706696528359 0.00413046110997084 0.851641465973373 30.2550850794457 35.4396717309113
"36" 1933 35 0.005149 0.00513577793969426 0.849576235418388 0.00436323488795021 0.847394617974413 29.4034436134723 34.6095410719582
"37" 1933 36 0.005406 0.00539142697289227 0.845213000530438 0.00455690416889898 0.842934548445988 28.5560489954979 33.7856244255315
"38" 1933 37 0.005615 0.00559928002134009 0.840656096361539 0.00470706888517503 0.838302561918951 27.7131144470519 32.9660542128912
"39" 1933 38 0.005796 0.00577925172849083 0.835949027476364 0.00483115986197291 0.833533447545377 26.874811885133 32.1488643467474
"40" 1933 39 0.005972 0.00595422069699876 0.831117867614391 0.00494865920899512 0.828643538009893 26.0412784375876 31.332834309453
"41" 1933 40 0.006183 0.00616394416660893 0.826169208405396 0.00509246087278237 0.823622977969004 25.2126348995777 30.517519465826
"42" 1933 41 0.006492 0.00647099514974393 0.821076747532613 0.00531318365085109 0.818420155707188 24.3890119216087 29.7036933452314
"43" 1933 42 0.006905 0.00688124251023342 0.815763563881762 0.0056134669140826 0.812956830424721 23.5705917659015 28.8939011369205
"44" 1933 43 0.007396 0.00736875036116441 0.810150096967679 0.00596979381962803 0.807165200057866 22.7576349354768 28.0906402661144
"45" 1933 44 0.007948 0.00791653967134607 0.804180303148051 0.00636632527278669 0.800997140511658 21.9504697354189 27.295458057716
"46" 1933 45 0.008547 0.00851062982344949 0.797813977875265 0.00678989943367014 0.79441902815843 21.1494725949073 26.5092780791238
"47" 1933 46 0.009164 0.00912220207011473 0.791024078441595 0.00721588148587049 0.787416137698659 20.3550535667489 25.7325334607394
"48" 1933 47 0.009801 0.00975320442173131 0.783808196955724 0.0076446415723378 0.779985876169555 19.5676374290502 24.9648287745012
